Claire’s Café: Tasty Cuisine 🥞🧁🍔,com.gamehouse.cc1,Casual,,,,,1023,False,0,,115M,5.0 and up,GameHouse Original Stories,https://www.gamehouseoriginalstories.com,ghos@gamehouse.com,,"Jun 10, 2021",Everyone 10+,https://www.gamehouseoriginalstories.com/static/privacy-policy.html,False,False,False,2021-06-15 20:25:00
Potato Smash,com.igg.android.projectpotato,Strategy,,,,,72087,False,0,,92M,4.4 and up,SkyRise Digital Pte. Ltd.,https://www.igg.com,help.potatosmash.android@igg.com,,"Jun 11, 2021",Everyone,https://policies.igg.com/privacy_policy,True,False,False,2021-06-15 21:02:51
SketchBook : Draw Art & Paints,com.sketchbook.illustrations,Art & Design,,,,,2,False,0,,Varies with device,Varies with device,CRAOX TECHNOLOGIES LLP,http://www.craox.com,nikhil@craox.com,,"May 27, 2021",Everyone,,True,False,False,2021-06-15 21:19:59
Shared grocery Shopping List,com.tikamori.shoppinglist,Shopping,,,,,0,False,0,,Varies with device,Varies with device,Tikamori,,tikamoriapps@gmail.com,,"May 18, 2021",Everyone,,False,False,False,2021-06-15 21:23:23
NBA NOW 21,com.com2us.nbanow2.android.google.global.normal,Sports,,,,,2,False,0,,Varies with device,Varies with device,Com2uS,http://www.withhive.com,info@com2us.com,,"May 25, 2021",Everyone,http://terms.withhive.com/terms/mobile/policy.html,True,False,False,2021-06-15 21:50:02
Idle Distiller - A Business Tycoon Game,com.kanoapps.bz,Simulation,,,,,2145,False,0,,88M,6.0 and up,KANO/APPS,https://www.kanoapps.com,idle.distiller.support@kanoapps.com,,"Jun 08, 2021",Teen,https://www.kanoapps.com/privacy-policy,True,False,False,2021-06-15 21:55:47
Nightmare Gate: Horror show in the hell,com.IndieFist.HorrorGames.NightmareGate,Adventure,,,,,0,False,0,,Varies with device,Varies with device,IndieFist Horror Games,https://indiefist.com,media@indiefist.com,,"Apr 09, 2021",Teen,,True,False,False,2021-06-15 21:56:28
Zombie Wasteland Adventure,com.daviddickball.zombiewasteland,Adventure,,,,,2948,False,0,,Varies with device,Varies with device,David Dick Ball,https://davidonionball.itch.io/,david@ongoingworlds.com,,"Mar 14, 2021",Everyone 10+,https://docs.google.com/document/d/1nP3zjhkRkd-wM7YfuGNM0elRyVrGBPzaVFqu1AgLkCs/edit?usp=sharing,False,False,False,2021-06-15 22:20:26
Redecor-Mansion Story,com.fotoable.villascrusher,Casual,,,,,8930,False,0,,85M,8.0 and up,Betta Games,,mansionstory@fotoable.com,,"May 26, 2021",Teen,http://privacy.betta-games.net/,False,False,False,2021-06-15 22:20:48
リヴリーアイランド ペットと暮らす小さな島,jp.cocone.livly,Social,,,,,0,False,0,,Varies with device,Varies with device,COCONE,,support@livly.zendesk.com,,"Jun 08, 2021",Everyone,https://livlyinfo.com/policy,False,False,False,2021-06-15 22:45:38
Hero Avengers,com.youli.heroavengers,Role Playing,,,,,0,False,0,,Varies with device,Varies with device,Fun+++,,heroavengers@feiyu.com,,"May 21, 2021",Teen,https://passport-oversea.737.com/clause/privacy/,False,False,False,2021-06-15 22:54:23
Clash of Minions,com.igg.android.clashofminions,Role Playing,,,,,0,False,0,,Varies with device,Varies with device,SkyRise Digital Pte. Ltd.,http://www.igg.com,help.clashofminions.android@igg.com,,"Mar 24, 2021",Teen,https://policies.skyriseonline.com/privacy_policy/eng/skyrise,True,False,False,2021-06-15 22:56:21
Mafia Crime War,com.onemt.mafiacrimewar,Role Playing,,,,,21592,False,0,,73M,4.4 and up,ONEMT,http://www.onemt.com,servicemcw@onemt.com,,"Apr 28, 2021",Mature 17+,http://www.onemt.com/abroadgame/outer/policy,False,False,False,2021-06-15 23:19:29
Lil Miss know it all Psychic,miss.know.it.all,Social,,,,,3,False,0,,Varies with device,Varies with device,Cspeer246,,cspeer246@gmail.com,,"Jun 04, 2021",Teen,http://www.e-droid.net/privacy.php?ida=1501269&idl=en,True,False,False,2021-06-15 23:42:37
Magic Revenge：Casual IDLE RPG,com.tojoy.magicrevenge,Role Playing,,,,,218435,False,0,,87M,4.1 and up,TOJOY GAME,http://www.tojoygame.com,magirevenge@gmail.com,,"Apr 20, 2021",Teen,http://jp.tojoygame.com/policy.html,True,False,False,2021-06-15 23:44:59
Mystic Gunner: Roguelike Shooting Action Adventure,com.buffstudio.isword.mystic.gunner.rougelike.shooting.games,Action,,,,,2778,False,0,,129M,7.0 and up,"Buff Studio (Story Games, Calm Games)",http://www.buffstudio.com,help@buffstudio.com,,"Jun 14, 2021",Everyone 10+,http://www.buffstudio.com/?page_id=403,True,False,False,2021-06-16 00:17:06
Word Chef,com.pacific.wordchef,Puzzle,,,,,1,False,0,,Varies with device,Varies with device,Pacific Enterprises,,mobile@pacific.enterprises,,"Sep 21, 2018",Everyone,,True,False,False,2021-06-16 00:37:40
Wordjamacallit,com.hotchaipro.matchwords,Word,,,,,5,False,0,,Varies with device,Varies with device,"Hot Chai Productions, LLC",https://wordjamacallit.com,support@hotchaipro.com,,"Jun 15, 2021",Everyone,,False,False,False,2021-06-16 00:44:46
古惑仔M：我最大、我話事！,com.gameone.tbm,Role Playing,,,,,0,False,0,,Varies with device,Varies with device,GAMEONE GROUP LIMITED,http://www.gameone.com/,csjz@gameone.com,,"Jun 11, 2021",Everyone 10+,http://gameone.com/p_info2.php,False,False,False,2021-06-16 00:56:43
